"UMAP_1","UMAP_2","Sample_Group","Major","Minor"
-0.936701889920858,-0.625243804396251,"Base Atlas","Martinotti","MC2"
-6.74501871674123,-1.45486947053776,"Base Atlas","LRP","HIn2"
2.02703166396556,-2.09435006135807,"Base Atlas","Non-Martinotti","nMC1"
-1.93003260700765,-2.77482243532048,"Base Atlas","LRP","HIn2"
3.36943173797068,-3.22724004739628,"Base Atlas","Non-Martinotti","nMC3"
-2.7216420134789,-2.80936547273503,"Base Atlas","LRP","HIn2"
5.31179881484446,3.16961745268001,"Base Atlas","Non-Martinotti","nMC5"
3.40948915870127,-1.14781137460575,"Base Atlas","Non-Martinotti","nMC3"
-1.35280465691152,1.45138029104366,"Base Atlas","Martinotti","MC2"
-1.34463047592702,5.5809238339056,"Base Atlas","Martinotti","MC3"
-2.19991635887685,3.15575508123531,"Base Atlas","Martinotti","MC3"
2.23622751624522,2.11219147688045,"Base Atlas","Martinotti","MC1"
2.16081214339671,-6.1474811648737,"Base Atlas","Non-Martinotti","nMC2"
1.42513251693186,-5.10612078660832,"Base Atlas","Non-Martinotti","nMC1"
-0.870642360139517,-2.66360088342533,"Base Atlas","Non-Martinotti","nMC1"
1.56762159259257,-6.6019284343134,"Base Atlas","Non-Martinotti","nMC2"
-0.646100815225271,1.60141936784878,"Base Atlas","Martinotti","MC1"
2.82885766417918,-1.06774230951176,"Base Atlas","Non-Martinotti","nMC4"
-0.97899490206304,-0.279658756197551,"Base Atlas","Martinotti","MC2"
-1.08477663605276,-3.8527440642725,"Base Atlas","Non-Martinotti","nMC1"
-5.59773754684987,0.588242032586476,"Base Atlas","LRP","HIn1"
2.58083558471141,-3.66668148988591,"Base Atlas","Non-Martinotti","nMC1"
-0.00521985052886381,-6.17071887010441,"Base Atlas","Non-Martinotti","nMC2"
-10.8063218554741,1.22525004392757,"Base Atlas","LRP","LRP2"
-6.63832449524465,0.130795196651361,"Base Atlas","LRP","HIn1"
7.67696166427073,2.28692559248104,"Base Atlas","Non-Martinotti","nMC5"
3.61206365020213,-2.79876609796391,"Base Atlas","Non-Martinotti","nMC3"
-1.42210864632192,-2.51019688600407,"Base Atlas","Non-Martinotti","nMC1"
-5.68024563400808,1.91834525114193,"Base Atlas","Non-Martinotti","nMC1"
-3.62782406418386,-0.9110172604929,"Base Atlas","Martinotti","MC3"
3.91463947684703,-2.98004051202641,"Base Atlas","Non-Martinotti","nMC3"
-11.3312776049859,1.41386226659908,"Base Atlas","LRP","LRP2"
0.0654738137238942,2.35664443021908,"Base Atlas","Martinotti","MC2"
0.984185937952372,-3.28743167871342,"Base Atlas","LRP","HIn2"
-9.28367399780813,-3.35866352075444,"Base Atlas","LRP","HIn1"
-3.27934002487722,-0.834174892843821,"Base Atlas","LRP","HIn2"
1.29819643886027,-3.17263480180607,"Base Atlas","Non-Martinotti","nMC1"
-2.50948237984243,-1.51555057519779,"Base Atlas","LRP","HIn2"
2.02987242133555,-2.55867668146,"Base Atlas","Non-Martinotti","nMC3"
-4.27206205933156,4.20295123106136,"Base Atlas","Martinotti","MC3"
-1.73865949719015,-4.39072533601628,"Base Atlas","Non-Martinotti","nMC1"
2.1217417755836,-4.2937304591547,"Base Atlas","Non-Martinotti","nMC1"
1.73100006968913,3.6335201645483,"Base Atlas","Martinotti","MC1"
0.302844617676111,-5.32808276170597,"Base Atlas","Non-Martinotti","nMC1"
1.10926723868785,0.609264233170888,"Base Atlas","Non-Martinotti","nMC1"
-6.4095733126885,1.76863221174373,"Base Atlas","Martinotti","MC3"
6.49775147826609,-4.59245701784001,"Base Atlas","Non-Martinotti","nMC3"
0.216816280197474,-6.16970606798039,"Base Atlas","Non-Martinotti","nMC4"
0.28965938479838,-2.12144895547734,"Base Atlas","Non-Martinotti","nMC1"
7.10129523665843,-2.3219720935236,"Base Atlas","Non-Martinotti","nMC4"
-0.591578837323812,1.29811851030483,"Base Atlas","Martinotti","MC2"
1.62187743575511,-4.00834103578434,"Base Atlas","Non-Martinotti","nMC3"
-1.57902192680898,-3.97427435869084,"Base Atlas","Non-Martinotti","nMC1"
-1.14027618973318,1.31627205854549,"Base Atlas","Martinotti","MC3"
-5.8246386012322,0.41602171307697,"Base Atlas","Martinotti","MC3"
1.49240839869914,4.15712622648372,"Base Atlas","Martinotti","MC1"
-5.0682475528008,2.73753670698299,"Base Atlas","Martinotti","MC3"
-1.21675145237508,-1.13899858945713,"Base Atlas","Martinotti","MC2"
-3.27205419151845,4.15453843122616,"Base Atlas","Martinotti","MC3"
-7.24193071930471,-1.31443150991307,"Base Atlas","LRP","HIn2"
-4.53679632752004,0.783339836655995,"Base Atlas","Martinotti","MC3"
5.72730422408518,-5.17508908265934,"Base Atlas","Non-Martinotti","nMC2"
0.296758655618998,-5.94209738725529,"Base Atlas","Non-Martinotti","nMC2"
3.13303327948985,-3.33519884103642,"Base Atlas","Non-Martinotti","nMC3"
-0.371317799974111,-6.56759186738835,"Base Atlas","Non-Martinotti","nMC2"
0.895537797521921,0.610672512112996,"Base Atlas","Non-Martinotti","nMC1"
2.14546656997141,-5.15305348390446,"Base Atlas","Non-Martinotti","nMC2"
-3.30375670998159,4.84425238615169,"Base Atlas","Martinotti","MC3"
5.76785207183299,-3.74941678994999,"Base Atlas","Non-Martinotti","nMC4"
-1.19485377876821,-0.18504340106354,"Base Atlas","Martinotti","MC2"
-0.146871801305441,4.80055693632259,"Base Atlas","Martinotti","MC1"
0.597842816423746,-6.8319704150568,"Base Atlas","Martinotti","MC3"
6.19677186400828,3.39092735296383,"Base Atlas","Martinotti","MC1"
3.7323157826179,4.81328991895809,"Base Atlas","Non-Martinotti","nMC5"
-0.689631339002279,-5.78428765291081,"Base Atlas","Non-Martinotti","nMC1"
0.795528654169413,1.06302038675441,"Base Atlas","Martinotti","MC1"
1.18670881183085,-2.65825577730046,"Base Atlas","Non-Martinotti","nMC1"
2.08972955138621,-0.194682679117778,"Base Atlas","Martinotti","MC2"
0.449513796877237,-4.70762749666081,"Base Atlas","Non-Martinotti","nMC1"
0.353266392063471,-1.77951355928288,"Base Atlas","Non-Martinotti","nMC1"
5.87526965529856,3.00989250188961,"Base Atlas","Non-Martinotti","nMC5"
7.00647807509837,-2.86990066522465,"Base Atlas","Non-Martinotti","nMC4"
2.17437196166453,-4.93335410112248,"Base Atlas","Non-Martinotti","nMC2"
-7.0472629031426,-0.142737931550601,"Base Atlas","LRP","HIn1"
0.73489225299296,-1.90151985639439,"Base Atlas","Martinotti","MC2"
0.268093649458262,4.09071711546077,"Base Atlas","Martinotti","MC2"
0.258623156856867,-6.00654717439518,"Base Atlas","Non-Martinotti","nMC2"
-1.19499241917196,-3.19715424531803,"Base Atlas","Non-Martinotti","nMC1"
3.03999877364573,-2.39728399270878,"Base Atlas","Non-Martinotti","nMC3"
1.62292409331736,-5.58449383729801,"Base Atlas","Non-Martinotti","nMC1"
-0.148937526930002,1.03333167081966,"Base Atlas","Martinotti","MC2"
4.65292048842845,2.99797967916622,"Base Atlas","Non-Martinotti","nMC3"
0.744066301893564,4.50499228483333,"Base Atlas","Martinotti","MC3"
3.72698307425913,-2.62465187066899,"Base Atlas","Non-Martinotti","nMC3"
-6.32008909790578,-1.72933991903172,"Base Atlas","Martinotti","MC2"
-3.32223724930349,2.08192924505367,"Base Atlas","Martinotti","MC2"
0.588132921766611,-4.20024891847477,"Base Atlas","Non-Martinotti","nMC3"
-2.93739723770681,-0.171790010274508,"Base Atlas","Martinotti","MC2"
-1.31057989208761,-3.51011200898991,"Base Atlas","Non-Martinotti","nMC1"
-0.330326553273825,-4.1689221476923,"Base Atlas","Non-Martinotti","nMC1"
6.45269275100169,-3.2068712329279,"Base Atlas","Martinotti","MC3"
1.69128632934031,-5.62053032869206,"Base Atlas","Non-Martinotti","nMC2"
-9.27253222076955,-0.0416497690390137,"Base Atlas","LRP","HIn2"
0.646969977926584,-6.2942096804987,"Base Atlas","Non-Martinotti","nMC3"
-0.618502732206015,-3.88154502862797,"Base Atlas","Non-Martinotti","nMC1"
-0.535727556634573,0.359000035582921,"Base Atlas","Martinotti","MC2"
-4.69283556549611,2.80247477537288,"Base Atlas","Martinotti","MC3"
2.20114803702769,4.6565902615179,"Base Atlas","Martinotti","MC1"
3.05580735595164,-3.41924115175114,"Base Atlas","Non-Martinotti","nMC2"
1.94543433577952,-5.39023037904606,"Base Atlas","Non-Martinotti","nMC2"
-2.28210877983632,0.162177913843534,"Base Atlas","Martinotti","MC2"
2.11947703750071,6.33082083707943,"Base Atlas","Martinotti","MC1"
-0.0208638420588054,-5.01704665178166,"Base Atlas","Non-Martinotti","nMC1"
-0.117295730698732,-4.61493321412907,"Base Atlas","Non-Martinotti","nMC1"
1.72253597171244,6.71185568815365,"Base Atlas","Martinotti","MC1"
6.03878474624095,3.22990492826595,"Base Atlas","Non-Martinotti","nMC5"
1.39664101989207,-2.46925564760075,"Base Atlas","Non-Martinotti","nMC1"
0.730231825422617,-5.4257957553278,"Base Atlas","Non-Martinotti","nMC1"
2.17058563620982,7.4750397587408,"Base Atlas","Martinotti","MC1"
3.62383056075511,2.04296378141536,"Base Atlas","Non-Martinotti","nMC3"
